giorno,pasto,alimenti,carboidrati,grassi,proteine,note
Mercoledì,Colazione,"Latte senza lattosio o soia 250g + 4 fette integrali + marmellata o crema alla nocciola",,,,"Alternative: Pane segale 70g + marmellata o crema alla nocciola; Fiocchi avena (porridge) 40g + frutta 150g + mandorle; Pancakes 50g farina avena + marmellata; Pane int 70g + sottiletta light + 50g fesa tacch crudo"
Mercoledì,Spuntino Mattina,"Yogurt greco 0% bianco + 1 cucchiaino nocciolata + 20g cereali integrali",,,,"Giorno Pilates. Alternative: Pane 50g + fesa tacch o bresaola; Yogurt Fruyo alla frutta 150g + 20g cereali integrali"
Mercoledì,Pranzo,"Riso 150g + zucca o funghi + 2 uova",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
Mercoledì,Spuntino Pomeriggio,"Yogurt greco magro alla frutta 150g",,,,"Alternative: Frutta fresca 200g; Frutta secca oleosa 15g (15 pezzi); 2 gallette al cioccolato fondente; 3 gallette mais o farro; Cracker Buoni per Tutti Galbusera (ai legumi) o Grani Antichi Misura o Riso su Riso"
Mercoledì,Cena,"Pane 130g o pasta 100g + pollo petto o arista o lonza maiale 200g + contorno + frutta 150g",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
Giovedì,Colazione,"Latte senza lattosio o soia 250g + 4 fette integrali + marmellata o crema alla nocciola",,,,"Alternative: Pane segale 70g + marmellata o crema alla nocciola; Fiocchi avena (porridge) 40g + frutta 150g + mandorle; Pancakes 50g farina avena + marmellata; Pane int 70g + sottiletta light + 50g fesa tacch crudo"
Giovedì,Spuntino Mattina,"Yogurt soia alla frutta (Valsoia o Alpro) 125ml",,,,"Giorno non allenamento"
Giovedì,Pranzo,"Pasta 100g + legumi cotti 200g + pollo petto 150g",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
Giovedì,Spuntino Pomeriggio,"Yogurt greco magro alla frutta 150g",,,,"Alternative: Frutta fresca 200g; Frutta secca oleosa 15g (15 pezzi); 2 gallette al cioccolato fondente; 3 gallette mais o farro; Cracker Buoni per Tutti Galbusera (ai legumi) o Grani Antichi Misura o Riso su Riso"
Giovedì,Cena,"Pane 130g o pasta 100g + 3 uova + contorno + frutta 150g",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
Venerdì,Colazione,"Latte senza lattosio o soia 250g + 4 fette integrali + marmellata o crema alla nocciola",,,,"Alternative: Pane segale 70g + marmellata o crema alla nocciola; Fiocchi avena (porridge) 40g + frutta 150g + mandorle; Pancakes 50g farina avena + marmellata; Pane int 70g + sottiletta light + 50g fesa tacch crudo"
Venerdì,Spuntino Mattina,"Yogurt greco 0% bianco + 1 cucchiaino nocciolata + 20g cereali integrali",,,,"Giorno Pilates. Alternative: Pane 50g + fesa tacch o bresaola; Yogurt Fruyo alla frutta 150g + 20g cereali integrali"
Venerdì,Pranzo,"Pasta 150g + verdure + mozzarella 100g",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
Venerdì,Spuntino Pomeriggio,"Yogurt greco magro alla frutta 150g",,,,"Alternative: Frutta fresca 200g; Frutta secca oleosa 15g (15 pezzi); 2 gallette al cioccolato fondente; 3 gallette mais o farro; Cracker Buoni per Tutti Galbusera (ai legumi) o Grani Antichi Misura o Riso su Riso"
Venerdì,Cena,"Pane 130g o pasta 100g + seppie o calamari o polpo 200g + contorno + frutta 150g",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
Sabato,Colazione,"Latte senza lattosio o soia 250g + 4 fette integrali + marmellata o crema alla nocciola",,,,"Alternative: Pane segale 70g + marmellata o crema alla nocciola; Fiocchi avena (porridge) 40g + frutta 150g + mandorle; Pancakes 50g farina avena + marmellata; Pane int 70g + sottiletta light + 50g fesa tacch crudo"
Sabato,Spuntino Mattina,"Yogurt soia alla frutta (Valsoia o Alpro) 125ml",,,,"Giorno non allenamento"
Sabato,Pranzo,"Pasta o pane 80g + verdure + pollo petto 150g + insalata",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
Sabato,Spuntino Pomeriggio,"Yogurt greco magro alla frutta 150g",,,,"Alternative: Frutta fresca 200g; Frutta secca oleosa 15g (15 pezzi); 2 gallette al cioccolato fondente; 3 gallette mais o farro; Cracker Buoni per Tutti Galbusera (ai legumi) o Grani Antichi Misura o Riso su Riso"
Sabato,Cena,"A piacere",,,,
Domenica,Colazione,"Latte senza lattosio o soia 250g + 4 fette integrali + marmellata o crema alla nocciola",,,,"Alternative: Pane segale 70g + marmellata o crema alla nocciola; Fiocchi avena (porridge) 40g + frutta 150g + mandorle; Pancakes 50g farina avena + marmellata; Pane int 70g + sottiletta light + 50g fesa tacch crudo"
Domenica,Spuntino Mattina,"Yogurt soia alla frutta (Valsoia o Alpro) 125ml",,,,"Giorno non allenamento"
Domenica,Pranzo,"A piacere",,,,"Domenica libera"
Domenica,Spuntino Pomeriggio,"Yogurt greco magro alla frutta 150g",,,,"Alternative: Frutta fresca 200g; Frutta secca oleosa 15g (15 pezzi); 2 gallette al cioccolato fondente; 3 gallette mais o farro; Cracker Buoni per Tutti Galbusera (ai legumi) o Grani Antichi Misura o Riso su Riso"
Domenica,Cena,"Pane 50g + 2 uova + contorno + frutta 150g",,,,"Olio EVO 30g/giorno: 3 cucchiai grandi o 6 cucchiaini"
